PebbleCounts,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area,,Correction Factor:,,,,,
,,,,,,,,,,,,3.18E-05,,,,corrected diameter (mm),correction
-104.701058,32.23314688,58.24157478,43.81415946,3.47E-06,2.61E-06,1518,5.38E-12,-1.010114775,1998.695686,24.05046897,,,,,,247.1,5.64E+00
-104.7010512,32.2331461,92.29535238,41.25660757,5.50E-06,2.46E-06,2075,7.36E-12,-1.613898379,2982.444892,30.42620819,,,,,,232.7,
-104.7010597,32.23314027,106.3413496,58.58452518,6.33E-06,3.49E-06,3198,1.13E-11,-2.047645633,4879.599334,34.46183219,,,,,,330.4,
-104.7010708,32.23313931,86.96014275,45.51300152,5.18E-06,2.71E-06,2747,9.74E-12,-1.199035368,3099.950813,11.38569075,,,,,,256.7,
-104.701045,32.23314032,47.54620605,40.67421946,2.83E-06,2.42E-06,1322,4.69E-12,-2.027754011,1514.726338,12.72350873,,,,,,229.4,
-104.7010731,32.23313747,64.43855375,36.19952506,3.84E-06,2.16E-06,1201,4.26E-12,-1.335995092,1827.038666,34.26521165,,,,,,204.1,
-104.7010917,32.23313485,155.4297341,109.5826484,9.26E-06,6.53E-06,8510,3.02E-11,-2.346335782,13340.58817,36.20970913,,,,,,618.0,
-104.7010847,32.23312317,340.0239662,171.7729804,2.02E-05,1.02E-05,33875,1.20E-10,-1.662745177,45747.08872,25.95157211,,,,,,968.7,
-104.7010563,32.23313169,103.376455,57.17173311,6.16E-06,3.40E-06,3978,1.41E-11,-0.654361654,4629.158746,14.06645963,,,,,,322.4,
-104.7010636,32.23312514,234.6083568,128.4665522,1.40E-05,7.65E-06,13643,4.84E-11,-2.656489771,23606.55577,42.20673217,,,,,,724.4,
-104.7010585,32.23312847,58.66625594,39.22687905,3.49E-06,2.34E-06,1042,3.70E-12,-2.904535974,1802.483136,42.19085999,,,,,,221.2,
-104.7010735,32.23312407,121.6835214,83.63911895,7.25E-06,4.98E-06,6882,2.44E-11,-3.103670802,7971.504579,13.66748985,,,,,,471.7,
-104.7010749,32.23311722,182.2430568,88.10060085,1.09E-05,5.25E-06,10451,3.71E-11,-2.969582719,12575.6066,16.89466492,,,,,,496.8,
-104.7010449,32.23311603,97.26245938,51.36586417,5.79E-06,3.06E-06,2893,1.03E-11,-0.312964371,3913.081806,26.06850193,,,,,,289.7,
-104.701053,32.23311055,77.53860352,60.74693116,4.62E-06,3.62E-06,3361,1.19E-11,-0.915862826,3689.278146,8.898167429,,,,,,342.6,
-104.7010976,32.23310715,227.762198,76.56212065,1.36E-05,4.56E-06,8193,2.91E-11,-0.363821931,13658.23815,40.01422502,,,,,,431.7,
-104.7010916,32.23310227,356.2378583,155.317409,2.12E-05,9.25E-06,23318,8.27E-11,-2.605960154,43337.04446,46.1938388,,,,,,875.9,
-104.7010466,32.23310495,107.6029747,86.37286369,6.41E-06,5.14E-06,6104,2.16E-11,-2.150308341,7279.485375,16.14791863,,,,,,487.1,
-104.7010735,32.23310221,71.84742423,53.47292394,4.28E-06,3.18E-06,2324,8.24E-12,-0.546578241,3009.152631,22.76895574,,,,,,301.5,
-104.701108,32.23308941,525.3866437,446.8630964,3.13E-05,2.66E-05,90626,3.21E-10,-0.038045327,183887.6657,50.71665103,,,,,,2519.9,
-104.7010504,32.23309757,124.9855577,34.73147514,7.44E-06,2.07E-06,1866,6.62E-12,-1.449302148,3400.025258,45.11805476,,,,,,195.9,
-104.7010838,32.23310066,57.47648067,34.8664408,3.42E-06,2.08E-06,1144,4.06E-12,-2.791844249,1569.628465,27.11651032,,,,,,196.6,
-104.7010604,32.23309614,92.01071158,26.27943257,5.48E-06,1.57E-06,1089,3.86E-12,-2.622791849,1893.884346,42.49912872,,,,,,148.2,
-104.701051,32.23309167,158.5069022,134.6554907,9.44E-06,8.02E-06,7670,2.72E-11,-2.000556091,16717.49979,54.11993363,,,,,,759.3,
-104.7010884,32.23309185,180.2922322,114.1540076,1.07E-05,6.80E-06,14498,5.14E-11,-0.051177479,16120.08249,10.062495,,,,,,643.7,
-104.7010759,32.23309232,54.00008274,34.45465472,3.22E-06,2.05E-06,1290,4.58E-12,-1.62351607,1457.274645,11.47859433,,,,,,194.3,
-104.701049,32.23308714,123.1788777,48.95773256,7.34E-06,2.92E-06,2729,9.68E-12,-2.380761565,4723.420606,42.22407387,,,,,,276.1,
-104.7010443,32.23308524,112.5892829,64.82038696,6.71E-06,3.86E-06,4960,1.76E-11,-0.564813903,5716.204452,13.22913584,,,,,,365.5,
-104.701097,32.23308286,108.5321676,57.643373,6.46E-06,3.43E-06,4009,1.42E-11,-2.936376214,4900.122575,18.18572007,,,,,,325.1,
-104.7010995,32.23307922,117.613872,37.57458991,7.00E-06,2.24E-06,2825,1.00E-11,-2.998873519,3461.40071,18.38564106,,,,,,211.9,
-104.7011028,32.23307547,94.70635048,41.03572107,5.64E-06,2.44E-06,2598,9.21E-12,-0.249957411,3043.969186,14.65091002,,,,,,231.4,
-104.7010996,32.23305891,86.63745233,55.27501693,5.16E-06,3.29E-06,3292,1.17E-11,-0.172539396,3750.884044,12.23402373,,,,,,311.7,
-104.7010729,32.23314342,81.82140162,50.79229239,4.87E-06,3.02E-06,2387,8.47E-12,-2.792705159,3255.096066,26.66883091,,,,,,286.4,
-104.7010735,32.23313062,183.7773034,64.38124581,1.09E-05,3.83E-06,5668,2.01E-11,-2.076984067,9267.238335,38.83830549,,,,,,363.1,
-104.7010782,32.23312949,103.757852,79.46112092,6.18E-06,4.73E-06,4337,1.54E-11,-1.536534526,6457.653539,32.83938239,,,,,,448.1,
-104.7010685,32.23312824,123.5324953,74.1871585,7.36E-06,4.42E-06,5909,2.10E-11,-3.094577346,7178.092202,17.68007664,,,,,,418.4,
-104.7010502,32.23311507,31.27498006,24.58767334,1.86E-06,1.46E-06,552,1.96E-12,-0.078287814,602.3009629,8.351466457,,,,,,138.7,
-104.7010456,32.23310942,35.52366981,23.74857172,2.12E-06,1.41E-06,578,2.05E-12,-0.090331539,660.7762144,12.52711774,,,,,,133.9,
-104.7010424,32.2331015,70.22121133,42.73990044,4.18E-06,2.55E-06,1332,4.72E-12,-1.563202608,2350.720011,43.33650992,,,,,,241.0,
-104.7010446,32.23309971,30.01532587,26.55490073,1.79E-06,1.58E-06,452,1.60E-12,-0.185529269,624.290644,27.59782573,,,,,,149.7,
-104.7010461,32.23309899,41.14108659,22.37844676,2.45E-06,1.33E-06,506,1.79E-12,-1.362946137,721.1154141,29.83092719,,,,,,126.2,
-104.7010697,32.23309798,57.07824919,36.73468968,3.40E-06,2.19E-06,1370,4.86E-12,-2.015655068,1642.275825,16.57917754,,,,,,207.2,
-104.7011028,32.23308214,67.96658753,41.55717946,4.05E-06,2.47E-06,1652,5.86E-12,-2.822710193,2212.282635,25.32599706,,,,,,234.3,
-104.7010657,32.23307601,156.5682182,90.26724972,9.32E-06,5.38E-06,5765,2.04E-11,-0.766515835,11069.6248,47.92054742,,,,,,509.0,
-104.7010985,32.23307493,149.3457351,52.45364405,8.89E-06,3.12E-06,4004,1.42E-11,-2.277906366,6135.748798,34.74309116,,,,,,295.8,
-104.701103,32.2330632,65.73885719,26.38883649,3.91E-06,1.57E-06,1160,4.11E-12,-2.563261347,1358.755995,14.6277916,,,,,,148.8,
