PebbleCounts,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area,,Corrected Area,Correction Factor:,,,,
,,,,,,,,,,,,,6.38E-05,,,corrected diameter (mm),conversion
-104.7021743,32.23664982,58.34389215,45.0935664,4.95E-06,3.83E-06,1507,1.08E-11,-2.756410752,2060.672918,26.86854927,,0.09617117,,,,360.2,8.0
-104.7021697,32.23664643,53.27917031,26.7133634,4.52E-06,2.27E-06,1020,7.34E-12,-2.611226161,1114.769574,8.501270208,,0.06509263,,,,213.4,
-104.7021698,32.23664091,36.42418474,21.12657912,3.09E-06,1.79E-06,486,3.50E-12,-0.000689345,602.7234679,19.36600682,,0.031014724,,,,168.8,
-104.7021591,32.23664023,39.45873821,31.97303966,3.35E-06,2.71E-06,832,5.99E-12,-1.938435391,988.1575681,15.8029016,,0.053095165,,,,255.4,
-104.7021765,32.23663158,105.8060235,43.87311397,8.98E-06,3.72E-06,2671,1.92E-11,-1.673134157,3635.866546,26.53745768,,0.170453347,,,,350.5,
-104.7021665,32.23663234,61.33508921,41.07598308,5.20E-06,3.48E-06,1837,1.32E-11,-1.591730386,1973.313327,6.907839971,,0.11723055,,,,328.1,
-104.7021623,32.23663175,55.6885478,43.12915424,4.72E-06,3.66E-06,1700,1.22E-11,-2.471489424,1881.204097,9.632346484,,0.108487716,,,,344.5,
-104.7021748,32.23662598,88.17668783,32.47753304,7.48E-06,2.76E-06,1415,1.02E-11,-1.725450095,2243.034203,36.91580815,,0.09030007,,,,259.4,
-104.7021691,32.23662598,49.0381683,38.35118736,4.16E-06,3.25E-06,1314,9.46E-12,-1.694504766,1473.031844,10.7962258,,0.083854623,,,,306.4,
-104.7021592,32.23661843,127.0837651,108.4155372,1.08E-05,9.20E-06,9975,7.18E-11,-1.374415599,10791.47181,7.565898528,,0.636567628,,,,866.1,
-104.7021696,32.2366214,81.25531862,47.45059269,6.89E-06,4.03E-06,2091,1.50E-11,-0.113057779,3019.89971,30.75929001,,0.133439891,,,,379.1,
-104.7021782,32.23661809,36.32424082,33.40704021,3.08E-06,2.83E-06,695,5.00E-12,-1.352961583,950.459525,26.8774754,,0.044352331,,,,266.9,
-104.7021502,32.23661682,80.42113607,38.98706202,6.82E-06,3.31E-06,2074,1.49E-11,-2.474238316,2455.7819,15.54624618,,0.132355014,,,,311.4,
-104.7021654,32.23661419,116.2996433,54.83191633,9.87E-06,4.65E-06,3420,2.46E-11,-0.16282349,4994.717026,31.52765247,,0.218251758,,,,438.0,
-104.7021623,32.23661164,52.79205053,25.84410451,4.48E-06,2.19E-06,991,7.13E-12,-3.063206151,1068.634279,7.2648127,,0.063241957,,,,206.5,
-104.7021772,32.2365509,82.4458911,50.33513522,6.99E-06,4.27E-06,2515,1.81E-11,-0.317111037,3250.41892,22.62535809,,0.160498004,,,,402.1,
-104.7021662,32.23650441,95.01322995,41.28036595,8.06E-06,3.50E-06,2211,1.59E-11,-3.056114012,3072.038839,28.02825368,,0.141097847,,,,329.8,
-104.7021606,32.23649245,191.8449375,184.0051122,1.63E-05,1.56E-05,24890,1.79E-10,-0.654174445,27648.99269,9.978637287,,1.588387797,,,,1469.9,
-104.7015707,32.23620469,100.366203,57.62718495,8.51E-06,4.89E-06,3683,2.65E-11,-0.987082602,4530.164587,18.70052557,,0.235035446,,,,460.4,
-104.7015671,32.23619892,65.52010172,61.03406941,5.56E-06,5.18E-06,1923,1.38E-11,-2.778283369,3132.174658,38.60495631,,0.122718752,,,,487.6,
-104.7015722,32.2361946,46.14497266,28.30888907,3.91E-06,2.40E-06,765,5.51E-12,-0.167722523,1023.166473,25.23210837,,0.048819472,,,,226.1,
-104.7016712,32.23618807,33.53590275,31.02571575,2.84E-06,2.63E-06,728,5.24E-12,-1.955412413,814.949865,10.66935142,,0.046458269,,,,247.8,
-104.7015626,32.23618535,111.2480363,52.77450433,9.44E-06,4.48E-06,3324,2.39E-11,-0.039821751,4598.493721,27.71546073,,0.212125393,,,,421.6,
-104.701635,32.23618298,90.79753943,33.32000029,7.70E-06,2.83E-06,1603,1.15E-11,-0.19819167,2369.617003,32.35193712,,0.102297535,,,,266.2,
-104.701549,32.23618145,66.12428014,37.40028077,5.61E-06,3.17E-06,1561,1.12E-11,-1.630878374,1937.023551,19.41244083,,0.09961725,,,,298.8,
-104.7015666,32.23618298,57.64355522,22.57872877,4.89E-06,1.92E-06,805,5.79E-12,-3.021152088,1019.411025,21.03283366,,0.051372124,,,,180.4,
-104.7015623,32.23617848,114.541241,28.01621237,9.72E-06,2.38E-06,1539,1.11E-11,-1.143176086,2513.450787,38.7694397,,0.098213291,,,,223.8,
-104.7015655,32.23618035,64.19396021,26.33140447,5.45E-06,2.23E-06,752,5.41E-12,-0.77687383,1323.936862,43.19970826,,0.04798986,,,,210.3,
-104.7015407,32.23617984,67.79955512,31.32722686,5.75E-06,2.66E-06,1020,7.34E-12,-2.481172454,1663.596038,38.68703841,,0.06509263,,,,250.3,
-104.7015735,32.23617941,40.34225981,24.25892586,3.42E-06,2.06E-06,680,4.89E-12,-1.05238104,766.5330247,11.2888841,,0.043395086,,,,193.8,
-104.7015677,32.23617551,73.62903688,30.98341439,6.25E-06,2.63E-06,1429,1.03E-11,-2.025480852,1786.806306,20.02490727,,0.091193498,,,,247.5,
-104.7016744,32.23617398,122.8078923,57.8240053,1.04E-05,4.91E-06,3452,2.48E-11,-1.504914781,5562.032595,37.93635796,,0.22029388,,,,461.9,
-104.7015721,32.23616983,172.6365967,88.62146663,1.46E-05,7.52E-06,6432,4.63E-11,-1.807269875,11983.14681,46.32461657,,0.410466465,,,,708.0,
-104.7016806,32.23617534,31.48943074,23.92747747,2.67E-06,2.03E-06,502,3.61E-12,-1.8416175,590.1478195,14.93656616,,0.032035784,,,,191.1,
-104.701534,32.23616788,148.8858587,115.3213912,1.26E-05,9.78E-06,6045,4.35E-11,-1.160640027,13448.14565,55.04956478,,0.385769555,,,,921.2,
-104.701563,32.23616126,342.7461062,142.334825,2.91E-05,1.21E-05,20494,1.47E-10,-2.147428611,38210.50546,46.36553547,,1.307851326,,,,1137.0,
-104.7015678,32.23616991,79.31345606,29.63790606,6.73E-06,2.51E-06,1150,8.28E-12,-1.599913402,1841.168232,37.53965663,,0.073388749,,,,236.8,
-104.7015624,32.23616957,79.47375356,41.08470244,6.74E-06,3.49E-06,2191,1.58E-11,-0.605882403,2557.425272,14.32789751,,0.139821521,,,,328.2,
-104.7015311,32.2361711,47.42701065,37.11362767,4.02E-06,3.15E-06,1141,8.21E-12,-2.947730624,1378.663379,17.23868076,,0.072814402,,,,296.5,
-104.7015795,32.23616855,72.89866118,21.12127019,6.18E-06,1.79E-06,864,6.22E-12,-1.069764407,1205.976003,28.35678337,,0.055137286,,,,168.7,
-104.7015521,32.23616041,207.7591958,81.15617622,1.76E-05,6.88E-06,7890,5.68E-11,-1.934594426,13206.29254,40.25575326,,0.503510635,,,,648.3,
-104.7015841,32.23616533,57.90309514,30.93912849,4.91E-06,2.62E-06,1122,8.07E-12,-1.89272433,1403.165624,20.03794985,,0.071601893,,,,247.2,
-104.7015869,32.23616575,41.61413295,29.49624016,3.53E-06,2.50E-06,720,5.18E-12,-0.046635534,961.4054777,25.10964243,,0.045947739,,,,235.6,
-104.7016354,32.23616363,91.65890881,32.65437595,7.78E-06,2.77E-06,1823,1.31E-11,-2.944406124,2344.310606,22.2372669,,0.116337121,,,,260.9,
-104.7015789,32.23615982,47.29172015,44.57993069,4.01E-06,3.78E-06,1523,1.10E-11,-0.331285765,1651.290876,7.769126418,,0.09719223,,,,356.1,
-104.7015492,32.23616058,27.11627819,23.53752006,2.30E-06,2.00E-06,459,3.30E-12,-1.313563966,499.9077448,8.18305882,,0.029291683,,,,188.0,
-104.7015847,32.23615905,50.70137646,30.94850498,4.30E-06,2.63E-06,965,6.94E-12,-1.863208636,1229.018742,21.48207614,,0.061582733,,,,247.2,
-104.701559,32.2361599,45.17262043,22.95551989,3.83E-06,1.95E-06,629,4.53E-12,-1.48503954,812.1972201,22.55575562,,0.040140455,,,,183.4,
-104.701626,32.23615863,77.26378659,43.58252707,6.55E-06,3.70E-06,1988,1.43E-11,-2.779139025,2637.469696,24.62472639,,0.126866812,,,,348.2,
